# mscm-strategy : releve automatique des PDF d'horaire officiels.
# Genere par tools_pdf_horaires.py, ne pas editer a la main sans raison.

@semestre automne-2026
Lundi | 08:00 | 10:00 | Data Science Methods for Management - BA orientation | Amphipôle/B | hebdomadaire | First week dedicated to projects - lecture starts 28th of September
Lundi | 08:30 | 12:00 | Innovation and Control Systems | Anthropole/3021 | quinzaine | Débute le 28 septembre
Lundi | 08:30 | 12:00 | Simple for managing people in face of adversity: Practical skills for difficult situations | Internef/233 | hebdomadaire | Débute le 28 Septembre
Lundi | 09:00 | 12:00 | The Art of Writing a Master's Thesis | Anthropole 2106 | irregulier | lundi 14 septembre de 9h à 12h - salle / Mardi 15 septembre de 9h à 12h - salle Anthropole 2106 /
Lundi | 10:15 | 12:00 | Data Science Methods for Management - BA orientation | Amphimax/412 | hebdomadaire | First week dedicated to projects - lecture starts 28th of September
Lundi | 14:15 | 18:00 | Strategic Management - SOL/BEE orientations | Internef/273 | hebdomadaire | First week dedicated to projects - lecture starts 28th of September
Lundi | 14:15 | 18:00 | Advanced issues in International and European Tax Law | Synathlon/2420 | hebdomadaire | Prof. Chand (en rempl. du Prof. Danon) / Trimestre 2
Lundi | 14:15 | 18:00 | Leadership Development | Amphimax/412 | hebdomadaire | Débute le 28 septembre
Mardi | 08:30 | 12:00 | Strategic Management Control Systems | Anthropole/3174 | hebdomadaire | Débute le 22 septembre
Mardi | 12:30 | 16:00 | Statistical Methods for Management - all orientations | Synathlon/1216 | hebdomadaire | First week dedicated to projects - lecture starts 22nd of September
Mercredi | 08:30 | 12:00 | Strategy & Development Modes | Internef/233 | hebdomadaire | Débute le 23 septembre
Mercredi | 12:30 | 16:00 | Marketing Science - MKT orientation | Internef/271 | hebdomadaire | First week dedicated to projects - lecture starts 23rd of September
Mercredi | 14:15 | 18:00 | Human Behavior and Evolutionary Inference | Internef/129 | hebdomadaire | Débute le 23 septembre
Mercredi | 17:15 | 19:00 | La recherche dans tous ses états (automne - 3 crédits) | Géopolis/1620 | hebdomadaire | 
Jeudi | 10:15 | 12:00 | Organizational Theory and Decision Making - SOL/BEE orientations | Internef 273 | hebdomadaire | First week dedicated to projects - lecture starts 24th of September - except 19 nov in and 3 déc in ? room to be confirmed - Amphimax / 410 - Grieder Manuel
Jeudi | 10:15 | 12:00 | Decision Intelligence for Managers | Internef/231 | hebdomadaire | Débute le 24 septembre
